priority_label,source_kind,cycle_index,prio_function_path,priority_function_artifact_path,priority_function_artifact_metadata_path,discovery_snapshot_path,discovery_source_island_id,discovery_reduced_score,priority_source_hash,reused_from_label,selected_calibration_penalty,heldout_subject_count,heldout_auc_roc,discovery_score[combined],discovery_score[mean],discovery_score[no_covariates_fold_1],discovery_score[no_covariates_fold_2],discovery_score[simplicity],discovery_score[simplicity_bonus],heldout_subject_count[AFRICAN_ANCESTRY],heldout_auc_roc[AFRICAN_ANCESTRY],heldout_subject_count[ASIAN],heldout_auc_roc[ASIAN],heldout_subject_count[EUROPEAN],heldout_auc_roc[EUROPEAN]
seed,seed,,/nfs/home/adas23/projects/AlphaEvolve/Collaterals/RunAFRFocal3/funsearch_priority_seed_constant4.py,/nfs/home/adas23/projects/AlphaEvolve/TroubleShooting/DynamicsOfHeldOut/OutputDir/20260917_203338_afr_focal3_oncoarray_african/priority_functions/seed.py,/nfs/home/adas23/projects/AlphaEvolve/TroubleShooting/DynamicsOfHeldOut/OutputDir/20260917_203338_afr_focal3_oncoarray_african/priority_functions/seed.metadata.json,/nfs/home/adas23/projects/AlphaEvolve/prio_func_disc_runs/oracle_priorityAfrFocal3_SimpleSeed_20260916_052346/program_db/bootstrap.pkl,0,0.5623413435306454,9ccd06ac08b86206dcff73f20dfa64f8d113cac41e6bacdcb81c9299e304e167,,1.0,400,0.5690500000000001,0.5623413435306454,0.5623413435306454,0.5655101700903142,0.5591725169709765,-9.0,0.0,400,0.5690500000000001,,,,
cycle_0001,cycle_best,1.0,/lustre/isaac24/scratch/adas23/AlphaEvolve_prio_func_disc_runs/oracle_priorityAfrFocal3_SimpleSeed_20260916_052346/cycle_0001/best_prio.py,/nfs/home/adas23/projects/AlphaEvolve/TroubleShooting/DynamicsOfHeldOut/OutputDir/20260917_203338_afr_focal3_oncoarray_african/priority_functions/cycle_0001.py,/nfs/home/adas23/projects/AlphaEvolve/TroubleShooting/DynamicsOfHeldOut/OutputDir/20260917_203338_afr_focal3_oncoarray_african/priority_functions/cycle_0001.metadata.json,/lustre/isaac24/scratch/adas23/AlphaEvolve_prio_func_disc_runs/oracle_priorityAfrFocal3_SimpleSeed_20260916_052346/cycle_0001/program_db_end.pkl,3,0.5738927824708068,a9e8d2d77f9aed5d29f3ea025a433a9a431d12c8d776f536d3ad3ab0ed4df673,,1.0,400,0.5494249999999999,0.5738927824708068,0.5738927824708068,0.5718163485047247,0.5759692164368888,-1228.0,0.0,400,0.5494249999999999,,,,
cycle_0002,cycle_best,2.0,/lustre/isaac24/scratch/adas23/AlphaEvolve_prio_func_disc_runs/oracle_priorityAfrFocal3_SimpleSeed_20260916_052346/cycle_0002/best_prio.py,/nfs/home/adas23/projects/AlphaEvolve/TroubleShooting/DynamicsOfHeldOut/OutputDir/20260917_203338_afr_focal3_oncoarray_african/priority_functions/cycle_0002.py,/nfs/home/adas23/projects/AlphaEvolve/TroubleShooting/DynamicsOfHeldOut/OutputDir/20260917_203338_afr_focal3_oncoarray_african/priority_functions/cycle_0002.metadata.json,/lustre/isaac24/scratch/adas23/AlphaEvolve_prio_func_disc_runs/oracle_priorityAfrFocal3_SimpleSeed_20260916_052346/cycle_0002/program_db_end.pkl,1,0.5924817555394696,b4236cc49317596b8f4f1e4afaf0aa481f28cb6b4a0789d0697ccdd56f9a0625,,1.0,400,0.584275,0.5924817555394696,0.6004817555394696,0.6358733663546481,0.5650901447242911,-3279.0,-0.008,400,0.584275,,,,
cycle_0003,cycle_best,3.0,/lustre/isaac24/scratch/adas23/AlphaEvolve_prio_func_disc_runs/oracle_priorityAfrFocal3_SimpleSeed_20260916_052346/cycle_0003/best_prio.py,/nfs/home/adas23/projects/AlphaEvolve/TroubleShooting/DynamicsOfHeldOut/OutputDir/20260917_203338_afr_focal3_oncoarray_african/priority_functions/cycle_0003.py,/nfs/home/adas23/projects/AlphaEvolve/TroubleShooting/DynamicsOfHeldOut/OutputDir/20260917_203338_afr_focal3_oncoarray_african/priority_functions/cycle_0003.metadata.json,/lustre/isaac24/scratch/adas23/AlphaEvolve_prio_func_disc_runs/oracle_priorityAfrFocal3_SimpleSeed_20260916_052346/cycle_0003/program_db_end.pkl,1,0.5924817555394696,b4236cc49317596b8f4f1e4afaf0aa481f28cb6b4a0789d0697ccdd56f9a0625,cycle_0002,1.0,400,0.584275,0.5924817555394696,0.6004817555394696,0.6358733663546481,0.5650901447242911,-3279.0,-0.008,400,0.584275,,,,
